,,,,,"Measures","Weighted Sum of Income Distribution - Whole Population","Weighted Sum of Income Distribution - Whole Population - RSE","Weighted Sum of Income Distribution - Whole Population - Annotations",
,,,,,"East Midlands (E12000004)",68883,0.00,,
,,,,,"West Midlands (E12000005)",64146,0.00,,
,,,,,"East (E12000006)",89398,0.00,,
,,,,,"London (E12000007)",295264,0.00,,
,,,,,"South East (E12000008)",122942,0.00,,
,,,,,"South West (E12000009)",80524,0.00,,
,,,,,"Wales (W92000004)",27313,0.00,,
,,,,,"Scotland (S92000003)",45444,0.00,,
,,,,,"Northern Ireland (N92000002)",8774,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",991,0.00,,
,,,,,"South East (E12000008)",3188,0.00,,
,,,,,"South West (E12000009)",1026,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",26462,0.00,,
,,,,,"North West (E12000002)",73340,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",47901,0.00,,
,,,,,"East Midlands (E12000004)",31408,0.00,,
,,,,,"West Midlands (E12000005)",45079,0.00,,
,,,,,"East (E12000006)",54445,0.00,,
,,,,,"London (E12000007)",235710,0.00,,
,,,,,"South East (E12000008)",95721,0.00,,
,,,,,"South West (E12000009)",29618,0.00,,
,,,,,"Wales (W92000004)",32653,0.00,,
,,,,,"Scotland (S92000003)",40203,0.00,,
,,,,,"Northern Ireland (N92000002)",5650,0.00,,
,,,,"All rented privately","North East (E12000001)",20413,0.00,,
,,,,,"North West (E12000002)",77034,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",26954,0.00,,
,,,,,"East Midlands (E12000004)",19386,0.00,,
,,,,,"West Midlands (E12000005)",53156,0.00,,
,,,,,"East (E12000006)",46731,0.00,,
,,,,,"London (E12000007)",176200,0.00,,
,,,,,"South East (E12000008)",113332,0.00,,
,,,,,"South West (E12000009)",63975,0.00,,
,,,,,"Wales (W92000004)",22747,0.00,,
,,,,,"Scotland (S92000003)",23524,0.00,,
,,,,,"Northern Ireland (N92000002)",8310,0.00,,
,"In low income (below threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",55538,0.00,,
,,,,,"North West (E12000002)",92817,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",101452,0.00,,
,,,,,"East Midlands (E12000004)",104502,0.00,,
,,,,,"West Midlands (E12000005)",108146,0.00,,
,,,,,"East (E12000006)",95399,0.00,,
,,,,,"London (E12000007)",57167,0.00,,
,,,,,"South East (E12000008)",104198,0.00,,
,,,,,"South West (E12000009)",84391,0.00,,
,,,,,"Wales (W92000004)",82487,0.00,,
,,,,,"Scotland (S92000003)",72815,0.00,,
,,,,,"Northern Ireland (N92000002)",43443,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",1142,0.00,,
,,,,,"North West (E12000002)",13872,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",6997,0.00,,
,,,,,"East Midlands (E12000004)",1898,0.00,,
,,,,,"West Midlands (E12000005)",40039,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",994,0.00,,
,,,,,"South East (E12000008)",7864,0.00,,
,,,,,"South West (E12000009)",1091,0.00,,
,,,,,"Wales (W92000004)",5166,0.00,,
,,,,,"Scotland (S92000003)",6760,0.00,,
,,,,,"Northern Ireland (N92000002)",5812,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",2481,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",1913,0.00,,
,,,,,"Northern Ireland (N92000002)",1703,0.00,,
,,,,"All rented privately","North East (E12000001)",2105,0.00,,
,,,,,"North West (E12000002)",5654,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",5131,0.00,,
,,,,,"East Midlands (E12000004)",1777,0.00,,
,,,,,"West Midlands (E12000005)",3947,0.00,,
,,,,,"East (E12000006)",4296,0.00,,
,,,,,"London (E12000007)",2465,0.00,,
,,,,,"South East (E12000008)",5045,0.00,,
,,,,,"South West (E12000009)",1683,0.00,,
,,,,,"Wales (W92000004)",1892,0.00,,
,,,,,"Scotland (S92000003)",5153,0.00,,
,,,,,"Northern Ireland (N92000002)",1200,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",4992,0.00,,
,,,,,"East Midlands (E12000004)",3148,0.00,,
,,,,,"West Midlands (E12000005)",4949,0.00,,
,,,,,"East (E12000006)",1120,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",1674,0.00,,
,,,,,"South West (E12000009)",3104,0.00,,
,,,,,"Wales (W92000004)",1116,0.00,,
,,,,,"Scotland (S92000003)",5266,0.00,,
,,,,,"Northern Ireland (N92000002)",3452,0.00,,
,,,,"All rented privately","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",521,0.00,,
,,,,,"Northern Ireland (N92000002)",1564,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",101718,0.00,,
,,,,,"North West (E12000002)",250640,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",170315,0.00,,
,,,,,"East Midlands (E12000004)",209715,0.00,,
,,,,,"West Midlands (E12000005)",227610,0.00,,
,,,,,"East (E12000006)",255976,0.00,,
,,,,,"London (E12000007)",247179,0.00,,
,,,,,"South East (E12000008)",210458,0.00,,
,,,,,"South West (E12000009)",244027,0.00,,
,,,,,"Wales (W92000004)",113729,0.00,,
,,,,,"Scotland (S92000003)",128535,0.00,,
,,,,,"Northern Ireland (N92000002)",85858,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",110124,0.00,,
,,,,,"North West (E12000002)",278359,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",292069,0.00,,
,,,,,"East Midlands (E12000004)",124719,0.00,,
,,,,,"West Midlands (E12000005)",295314,0.00,,
,,,,,"East (E12000006)",183070,0.00,,
,,,,,"London (E12000007)",269418,0.00,,
,,,,,"South East (E12000008)",235070,0.00,,
,,,,,"South West (E12000009)",150324,0.00,,
,,,,,"Wales (W92000004)",94009,0.00,,
,,,,,"Scotland (S92000003)",137452,0.00,,
,,,,,"Northern Ireland (N92000002)",73478,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",58302,0.00,,
,,,,,"North West (E12000002)",114186,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",116846,0.00,,
,,,,,"East Midlands (E12000004)",90538,0.00,,
,,,,,"West Midlands (E12000005)",117047,0.00,,
,,,,,"East (E12000006)",125990,0.00,,
,,,,,"London (E12000007)",247571,0.00,,
,,,,,"South East (E12000008)",94583,0.00,,
,,,,,"South West (E12000009)",106751,0.00,,
,,,,,"Wales (W92000004)",43575,0.00,,
,,,,,"Scotland (S92000003)",119993,0.00,,
,,,,,"Northern Ireland (N92000002)",26758,0.00,,
,,,,"All rented privately","North East (E12000001)",36570,0.00,,
,,,,,"North West (E12000002)",146905,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",118537,0.00,,
,,,,,"East Midlands (E12000004)",115974,0.00,,
,,,,,"West Midlands (E12000005)",145946,0.00,,
,,,,,"East (E12000006)",107889,0.00,,
,,,,,"London (E12000007)",231272,0.00,,
,,,,,"South East (E12000008)",140976,0.00,,
,,,,,"South West (E12000009)",99661,0.00,,
,,,,,"Wales (W92000004)",54871,0.00,,
,,,,,"Scotland (S92000003)",98272,0.00,,
,,,,,"Northern Ireland (N92000002)",32273,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",1027,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",1674,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",122926,0.00,,
,,,,,"North West (E12000002)",286036,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",204476,0.00,,
,,,,,"East Midlands (E12000004)",200702,0.00,,
,,,,,"West Midlands (E12000005)",221321,0.00,,
,,,,,"East (E12000006)",151859,0.00,,
,,,,,"London (E12000007)",325322,0.00,,
,,,,,"South East (E12000008)",157688,0.00,,
,,,,,"South West (E12000009)",91952,0.00,,
,,,,,"Wales (W92000004)",113304,0.00,,
,,,,,"Scotland (S92000003)",254876,0.00,,
,,,,,"Northern Ireland (N92000002)",48898,0.00,,
,,,,"All rented privately","North East (E12000001)",44245,0.00,,
,,,,,"North West (E12000002)",60050,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",64311,0.00,,
,,,,,"East Midlands (E12000004)",20626,0.00,,
,,,,,"West Midlands (E12000005)",68613,0.00,,
,,,,,"East (E12000006)",8591,0.00,,
,,,,,"London (E12000007)",27041,0.00,,
,,,,,"South East (E12000008)",37767,0.00,,
,,,,,"South West (E12000009)",22427,0.00,,
,,,,,"Wales (W92000004)",41047,0.00,,
,,,,,"Scotland (S92000003)",32207,0.00,,
,,,,,"Northern Ireland (N92000002)",24616,0.00,,
"2009-10 (cpi, r)","Not in low income (at or above threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",574995,0.00,,
,,,,,"North West (E12000002)",1572952,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1035487,0.00,,
,,,,,"East Midlands (E12000004)",1074188,0.00,,
,,,,,"West Midlands (E12000005)",1267961,0.00,,
,,,,,"East (E12000006)",1367849,0.00,,
,,,,,"London (E12000007)",1360203,0.00,,
,,,,,"South East (E12000008)",1841441,0.00,,
,,,,,"South West (E12000009)",1265965,0.00,,
,,,,,"Wales (W92000004)",743905,0.00,,
,,,,,"Scotland (S92000003)",1165352,0.00,,
,,,,,"Northern Ireland (N92000002)",476370,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",897866,0.00,,
,,,,,"North West (E12000002)",2445339,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1787154,0.00,,
,,,,,"East Midlands (E12000004)",1504249,0.00,,
,,,,,"West Midlands (E12000005)",1824440,0.00,,
,,,,,"East (E12000006)",2098792,0.00,,
,,,,,"London (E12000007)",2327124,0.00,,
,,,,,"South East (E12000008)",3408555,0.00,,
,,,,,"South West (E12000009)",1783619,0.00,,
,,,,,"Wales (W92000004)",1045927,0.00,,
,,,,,"Scotland (S92000003)",1944710,0.00,,
,,,,,"Northern Ireland (N92000002)",564033,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",134034,0.00,,
,,,,,"North West (E12000002)",329094,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",266185,0.00,,
,,,,,"East Midlands (E12000004)",190551,0.00,,
,,,,,"West Midlands (E12000005)",208408,0.00,,
,,,,,"East (E12000006)",330108,0.00,,
,,,,,"London (E12000007)",549708,0.00,,
,,,,,"South East (E12000008)",298146,0.00,,
,,,,,"South West (E12000009)",195802,0.00,,
,,,,,"Wales (W92000004)",121374,0.00,,
,,,,,"Scotland (S92000003)",344434,0.00,,
,,,,,"Northern Ireland (N92000002)",51389,0.00,,
,,,,"All rented privately","North East (E12000001)",144689,0.00,,
,,,,,"North West (E12000002)",409189,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",424513,0.00,,
,,,,,"East Midlands (E12000004)",328529,0.00,,
,,,,,"West Midlands (E12000005)",364929,0.00,,
,,,,,"East (E12000006)",435686,0.00,,
,,,,,"London (E12000007)",902673,0.00,,
,,,,,"South East (E12000008)",904525,0.00,,
,,,,,"South West (E12000009)",452313,0.00,,
,,,,,"Wales (W92000004)",193937,0.00,,
,,,,,"Scotland (S92000003)",325319,0.00,,
,,,,,"Northern Ireland (N92000002)",131703,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",1085,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",1146,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",1580,0.00,,
,,,,,"North West (E12000002)",1894,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",3568,0.00,,
,,,,,"West Midlands (E12000005)",2652,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",7190,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",1347,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",137275,0.00,,
,,,,,"North West (E12000002)",323477,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",244903,0.00,,
,,,,,"East Midlands (E12000004)",175328,0.00,,
,,,,,"West Midlands (E12000005)",225723,0.00,,
,,,,,"East (E12000006)",183964,0.00,,
,,,,,"London (E12000007)",330941,0.00,,
,,,,,"South East (E12000008)",228163,0.00,,
,,,,,"South West (E12000009)",191082,0.00,,
,,,,,"Wales (W92000004)",97985,0.00,,
,,,,,"Scotland (S92000003)",261833,0.00,,
,,,,,"Northern Ireland (N92000002)",72184,0.00,,
,,,,"All rented privately","North East (E12000001)",20377,0.00,,
,,,,,"North West (E12000002)",74386,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",38706,0.00,,
,,,,,"East Midlands (E12000004)",55052,0.00,,
,,,,,"West Midlands (E12000005)",75818,0.00,,
,,,,,"East (E12000006)",48336,0.00,,
,,,,,"London (E12000007)",90106,0.00,,
,,,,,"South East (E12000008)",88297,0.00,,
,,,,,"South West (E12000009)",108464,0.00,,
,,,,,"Wales (W92000004)",24870,0.00,,
,,,,,"Scotland (S92000003)",36691,0.00,,
,,,,,"Northern Ireland (N92000002)",31105,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",1961,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",1808,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",11244,0.00,,
,,,,,"North West (E12000002)",74562,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",36035,0.00,,
,,,,,"East Midlands (E12000004)",46265,0.00,,
,,,,,"West Midlands (E12000005)",51510,0.00,,
,,,,,"East (E12000006)",86624,0.00,,
,,,,,"London (E12000007)",153840,0.00,,
,,,,,"South East (E12000008)",110128,0.00,,
,,,,,"South West (E12000009)",29469,0.00,,
,,,,,"Wales (W92000004)",26724,0.00,,
,,,,,"Scotland (S92000003)",34167,0.00,,
,,,,,"Northern Ireland (N92000002)",7146,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",28728,0.00,,
,,,,,"North West (E12000002)",51783,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",29830,0.00,,
,,,,,"East Midlands (E12000004)",63699,0.00,,
,,,,,"West Midlands (E12000005)",51577,0.00,,
,,,,,"East (E12000006)",46780,0.00,,
,,,,,"London (E12000007)",151764,0.00,,
,,,,,"South East (E12000008)",37125,0.00,,
,,,,,"South West (E12000009)",43287,0.00,,
,,,,,"Wales (W92000004)",11304,0.00,,
,,,,,"Scotland (S92000003)",25988,0.00,,
,,,,,"Northern Ireland (N92000002)",6536,0.00,,
,,,,"All rented privately","North East (E12000001)",16947,0.00,,
,,,,,"North West (E12000002)",100786,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",92957,0.00,,
,,,,,"East Midlands (E12000004)",78550,0.00,,
,,,,,"West Midlands (E12000005)",63899,0.00,,
,,,,,"East (E12000006)",89187,0.00,,
,,,,,"London (E12000007)",277530,0.00,,
,,,,,"South East (E12000008)",165173,0.00,,
,,,,,"South West (E12000009)",83986,0.00,,
,,,,,"Wales (W92000004)",20250,0.00,,
,,,,,"Scotland (S92000003)",50493,0.00,,
,,,,,"Northern Ireland (N92000002)",14276,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",1822,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",553,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",46074,0.00,,
,,,,,"North West (E12000002)",137939,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",56939,0.00,,
,,,,,"East Midlands (E12000004)",44321,0.00,,
,,,,,"West Midlands (E12000005)",87018,0.00,,
,,,,,"East (E12000006)",62726,0.00,,
,,,,,"London (E12000007)",223153,0.00,,
,,,,,"South East (E12000008)",141024,0.00,,
,,,,,"South West (E12000009)",105375,0.00,,
,,,,,"Wales (W92000004)",31537,0.00,,
,,,,,"Scotland (S92000003)",30104,0.00,,
,,,,,"Northern Ireland (N92000002)",12101,0.00,,
,,,,"All rented privately","North East (E12000001)",24358,0.00,,
,,,,,"North West (E12000002)",111512,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",81823,0.00,,
,,,,,"East Midlands (E12000004)",33002,0.00,,
,,,,,"West Midlands (E12000005)",70772,0.00,,
,,,,,"East (E12000006)",49976,0.00,,
,,,,,"London (E12000007)",233368,0.00,,
,,,,,"South East (E12000008)",102704,0.00,,
,,,,,"South West (E12000009)",109350,0.00,,
,,,,,"Wales (W92000004)",61534,0.00,,
,,,,,"Scotland (S92000003)",43862,0.00,,
,,,,,"Northern Ireland (N92000002)",17013,0.00,,
,"In low income (below threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",36638,0.00,,
,,,,,"North West (E12000002)",69925,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",87728,0.00,,
,,,,,"East Midlands (E12000004)",68937,0.00,,
,,,,,"West Midlands (E12000005)",94114,0.00,,
,,,,,"East (E12000006)",99088,0.00,,
,,,,,"London (E12000007)",37479,0.00,,
,,,,,"South East (E12000008)",100582,0.00,,
,,,,,"South West (E12000009)",75323,0.00,,
,,,,,"Wales (W92000004)",50245,0.00,,
,,,,,"Scotland (S92000003)",62148,0.00,,
,,,,,"Northern Ireland (N92000002)",30762,0.00,,
